tag, link
embryonic_cells, https://datasets.cellxgene.cziscience.com/a7d3fa63-e9f0-4a39-a54b-7c49286456c9.h5ad
fetal_retina_atlas, https://datasets.cellxgene.cziscience.com/860a9839-5d24-4073-9a67-6ad570f41da1.h5ad
female_blood_CMV_neg, https://datasets.cellxgene.cziscience.com/d3c02577-acef-4c68-9264-979c19de5b47.h5ad
male_blood_CMV_neg, https://datasets.cellxgene.cziscience.com/843e8e08-f860-418a-bc63-02cb6f5bdce6.h5ad
human_immune_health_atlas, https://datasets.cellxgene.cziscience.com/39832a61-3df1-4f1f-971d-3c2a74539047.h5ad
human_adult_kidney_atlas, https://datasets.cellxgene.cziscience.com/9beaa89c-608a-4ef7-a816-2e6d42b1a0c2.h5ad
pediatric_adult_kidney_tissue, https://datasets.cellxgene.cziscience.com/10cc50a0-af80-4fa1-b668-893dd5c0113a.h5ad
human_retina, https://datasets.cellxgene.cziscience.com/2800d961-8e09-44c3-9acf-fdebc5f94915.h5ad
subcutaneous_adipose_tissue, https://datasets.cellxgene.cziscience.com/29310a6a-b812-477d-81b8-f34ea1b87899.h5ad
visceral_adipose_tissue, https://datasets.cellxgene.cziscience.com/aa1bca2e-bb05-4c1b-8b24-17a009c3d32f.h5ad
colon_rectal_cancer_tissue, https://datasets.cellxgene.cziscience.com/66cadf3b-4c71-4930-8add-fa748745704d.h5ad
pancreatic_cells, https://datasets.cellxgene.cziscience.com/d45ff50f-90e1-4983-9388-c5b2ca1f2866.h5ad
lung, https://datasets.cellxgene.cziscience.com/667f3b2e-c7fd-49a6-a1a4-79999f1d46ad.h5ad
airway, https://datasets.cellxgene.cziscience.com/88480dcc-0860-4e5d-bf4d-f3a05ee9a0c9.h5ad
mature_kidney, https://datasets.cellxgene.cziscience.com/7dafa492-6129-4dff-a794-17bdefde3575.h5ad
fetal_kidney, https://datasets.cellxgene.cziscience.com/29dcc0c9-8db4-49ee-a3cc-7c4fca336de8.h5ad
ileum, https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
colon, https://datasets.cellxgene.cziscience.com/9a696bfb-7cd5-4c27-89f5-f7979ae12111.h5ad
neurons, https://datasets.cellxgene.cziscience.com/1f85533f-3381-47d9-b092-87332a397517.h5ad
non_neurons, https://datasets.cellxgene.cziscience.com/84452518-ab62-43d7-8a72-b78941518434.h5ad
immune_aging_project, https://datasets.cellxgene.cziscience.com/7c98dadf-b249-4873-83be-51776674e9e1.h5ad
skin_fibroblast, https://datasets.cellxgene.cziscience.com/ba0fb2d9-28c9-4149-8591-694e0b7d9c31.h5ad
skin_epidermis, https://datasets.cellxgene.cziscience.com/022b2aab-8abb-4972-92e2-750b7cadafa7.h5ad
prostate, https://datasets.cellxgene.cziscience.com/dd683a8e-98f5-4668-8291-04c7b221d046.h5ad
liver, https://datasets.cellxgene.cziscience.com/42e4c10d-34e4-41ea-928d-818bbf9f00be.h5ad
heart_hca, https://datasets.cellxgene.cziscience.com/ae536414-6fb1-4935-b6b6-b81c3d7d4811.h5ad
hippocampal_formation_hca, https://datasets.cellxgene.cziscience.com/ae536414-6fb1-4935-b6b6-b81c3d7d4811.h5ad
blood_hca, https://datasets.cellxgene.cziscience.com/d80b69a7-4b37-4c00-8d46-e0c311c6d850.h5ad
lung_hca, https://datasets.cellxgene.cziscience.com/018a8104-6273-4114-b24d-efd15478cea8.h5ad
intestine_hca, https://datasets.cellxgene.cziscience.com/14f8def5-649c-4e40-bcc7-e4004e30933d.h5ad
liver_hca, https://datasets.cellxgene.cziscience.com/6e7d3489-8aa7-4e6a-befe-ec5ad5a72286.h5ad
skeletal_muscle_hca, https://datasets.cellxgene.cziscience.com/d7fe3c09-aa67-4e91-95d9-5e3212a533e1.h5ad
spleen_hca, https://datasets.cellxgene.cziscience.com/0430f6a9-80d1-4eae-b99d-d42c29e40bb5.h5ad
kidney_hca, https://datasets.cellxgene.cziscience.com/26d15fe5-5e25-4649-bdf1-07814871ffd1.h5ad
lymph_node_hca, https://datasets.cellxgene.cziscience.com/5e271d25-febb-41f8-8b18-72cfa2139494.h5ad
pancreas_hca, https://datasets.cellxgene.cziscience.com/72e6a74d-8804-4305-81d7-a12b93f2ac0d.h5ad
bone_marrow, https://datasets.cellxgene.cziscience.com/ad9529a3-0937-4177-9732-31dee15188c1.h5ad









